method	length	compressed size geco	compressed size xz
eulertigs	503130174	983346952	1055253984
greedy-maxone	255345699	461013328	543159072
matchtigs	288713502	555512480	598698016
pareto-1	255952134	469877328	541911456
pareto-128	276079769	524600064	589624352
pareto-256	276084538	524572496	584580768
pareto-32	275991369	524642048	585613472
pareto-512	276084538	524572496	584580768
pareto-8	272186661	518713136	576626880
