method	length	compressed size geco	compressed size xz
eulertigs	851301533	998253280	1208506336
greedy-maxone	672963550	694701808	883160480
matchtigs	734584971	720825720	905324064
method	length	compressed size geco	compressed size xz
pareto-128	777078011	631889616	841945312
pareto-1	673059905	690195488	880122816
pareto-256	857640601	635624912	859125536
pareto-32	695451651	652220368	843122816
pareto-512	995169164	650712336	886230976
pareto-8	675343628	677959584	866876512
