method	length	compressed size geco	compressed size xz
eulertigs	1578115253	1025013040	1405826560
greedy-maxone	1222606017	688706872	999574016
matchtigs	1312238484	744992880	1026987328
pareto-1	1222641894	686887280	998922176
pareto-128	1305002025	665255608	961623296
pareto-256	1396653046	665379936	967232192
pareto-32	1234862297	676239784	977816032
pareto-512	1571185974	675053552	986725088
pareto-8	1223647897	684174312	993094144
