method	superstring	mask
eulertigs	1578115253	10250205
greedy-maxone	1222606017	4202691
greedy-minone	1222606017	10250586
greedy-minrun	1222606017	4173949
pareto-1	1222641894	4210479
pareto-128	1305002025	2234406
pareto-16	1226321803	3609552
pareto-2	1222694753	4090448
pareto-256	1396653046	1732164
pareto-32	1234862297	3236941
pareto-4	1222906519	3996244
pareto-512	1571185974	1251641
pareto-64	1257073981	2755293
pareto-8	1223647897	3851440
kmer_count	-1	942602604
lowerbound_length	1222543576	-1
lowerbound_matchtig_count	-1	357249
matchtigs	1312238484	3151898
simplitigs	1578139929	10250603
unitigs	2974745357	32776497
