method	superstring	mask
eulertigs	851301533	10011714
greedy-maxone	672963550	4786296
greedy-minone	672963550	10012287
greedy-minrun	672963550	4755923
kmer_count	-1	550950142
lowerbound_length	672937467	-1
lowerbound_matchtig_count	-1	254559
matchtigs	734584971	3340359
pareto-128	777078011	1679776
pareto-16	680709047	3555897
pareto-1	673059905	4710687
pareto-256	857640601	1230827
pareto-2	673184739	4511512
pareto-32	695451651	2915438
pareto-4	673681115	4318341
pareto-512	995169164	842287
pareto-64	725916922	2247547
pareto-8	675343628	4020909
simplitigs	851319953	10012328
unitigs	1519096583	32271549
