method	length	compressed size geco	compressed size xz
eulertigs	62583412	29412920	38860352
greedy-maxone	43329748	16802960	24619168
matchtigs	48180166	18816144	26391776
pareto-128	48595349	16714304	24132128
pareto-1	43333887	16753000	24535584
pareto-256	52752499	17029288	24366432
pareto-32	44347095	16644168	24190272
pareto-512	55555960	17354832	24612992
pareto-8	43563209	16720320	24435712
