method	superstring	mask
eulertigs	1405269984	123831816
greedy-maxone	1112649972	66578112
greedy-minone	1112649972	118935744
greedy-minrun	1112649972	66249024
joint-1	1112802404	65698048
joint-250	1413558782	23737792
joint-30	1146373322	46141760
joint-400	1553528418	19932864
joint-70	1209934710	35935552
joint-7	1115709844	58759296
kmer_count	-1	453589061
lowerbound_length	556307105	-1
lowerbound_matchtig_count	-1	319608
matchtigs	1217114832	51030856
