method	superstring	mask
eulertigs	1006260348	231007432
greedy-maxone	510691398	136985728
greedy-minone	510691398	185074496
greedy-minrun	510691398	127814912
kmer_count	-1	212834965
lowerbound_length	255341022	-1
lowerbound_matchtig_count	-1	20222
matchtigs	577427004	1939400
pareto-128	552159538	603456
pareto-1	511904268	109079808
pareto-256	552169076	598144
pareto-32	551982738	719104
pareto-512	552169076	598144
pareto-8	544373322	7766592
