method	superstring	mask
eulertigs	2570512386	141095304
greedy-maxone	1998833456	68027968
greedy-minone	1998833456	135601152
greedy-minrun	1998833456	67622784
pareto-1	1998888166	67976448
pareto-250	2274268162	35377280
pareto-30	2017316296	55753344
pareto-400	2439311016	30941312
pareto-70	2063983102	47983488
pareto-7	2000174806	63869632
kmer_count	-1	760242982
lowerbound_length	999374554	-1
lowerbound_matchtig_count	-1	551433
matchtigs	2154704678	54718984
