method	distinct kmers in the mask
eulertigs	1563548580
greedy-maxone	1117508685
pareto-1	1114328509
pareto-128	1034216739
pareto-256	1010854748
pareto-32	1080453044
pareto-512	989766746
pareto-8	1105462527
kmer_count	942602604
matchtigs	1132312237
