method	length	compressed size geco	compressed size xz
eulertigs	14359547	17429824	21791424
greedy-maxone	11969688	13185496	17266208
pareto-1	11970424	13107936	17223552
pareto-128	14216466	11638560	17033376
pareto-256	15886880	11414544	17337216
pareto-32	12400904	12346512	16914656
pareto-512	17980871	11344952	17791488
pareto-8	12008433	12890856	17104416
matchtigs	12812401	13547976	17843104
