method	superstring	mask
eulertigs	48724898	5499912
greedy-maxone	34321386	4177408
greedy-minone	34321386	5025472
greedy-minrun	34321386	4015936
pareto-1	34329926	3987648
pareto-250	44634824	661312
pareto-30	36347154	1694080
pareto-400	44774298	650880
pareto-70	40060546	1070016
pareto-7	34784230	2404032
kmer_count	-1	12675558
lowerbound_length	17160604	-1
lowerbound_matchtig_count	-1	28673
matchtigs	39217730	1934216
