method	superstring	mask
eulertigs	125166824	8330248
greedy-maxone	86659496	5537536
greedy-minone	86659496	7702784
greedy-minrun	86659496	5345536
pareto-1	86667774	5391552
pareto-250	105214736	1200000
pareto-30	88544162	2736192
pareto-400	109381438	1054784
pareto-70	91933166	2120576
pareto-7	87079686	3527744
kmer_count	-1	30369141
lowerbound_length	43329283	-1
lowerbound_matchtig_count	-1	41527
matchtigs	96360332	2584840
