method	superstring	mask
eulertigs	20172096	4048328
greedy-maxone	13303804	3278464
greedy-minone	13303804	3601472
greedy-minrun	13303804	3051456
kmer_count	-1	5240017
lowerbound_length	6651228	-1
lowerbound_matchtig_count	-1	16497
matchtigs	16115012	1078856
pareto-1	13315806	2964672
pareto-128	16811280	369664
pareto-256	16888426	352896
pareto-32	16112180	539840
pareto-512	16933376	342016
pareto-8	14007182	1448960
