method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	195215840	8200488	141917684	8143358	198094060	15775875	105312035	13216834
greedy-maxone	138776164	12955984	104233448	6892278	152448205	7305253	71680393	6982386
greedy-minrun	138776164	12891464	104233448	6835084	152448205	7265760	71680393	6919675
pareto-1	138650308	12976024	104145128	6892300	152277900	7318419	71517335	6966226
pareto-250	144387072	7112668	100942596	3612205	165404784	4492692	69387929	3561439
pareto-30	137340444	10881532	102086908	5612431	152829697	5895236	70469843	5638454
pareto-400	150567540	6257404	102066272	3170788	172783260	3231959	69895353	3165532
pareto-70	137489560	9447716	100790840	4835880	154907996	5042095	69724499	4829965
pareto-7	138261396	12289640	103679856	6421626	152287095	6610804	71247237	6499058
kmer_count	760242982	760242982	760242982	760242982	760242982	760242982	760242982	760242982
matchtigs	147125916	3818520	109635856	3611554	163970352	6163662	78933115	5046540
