method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	147183900	7317876	124916564	7336487	144390506	13378481	103195457	10018942
greedy-maxone	106135400	10561472	92107396	6589809	111997756	6378942	72496040	6304743
greedy-minrun	106135400	10514972	92107396	6542211	111997756	6239990	72496040	6235918
pareto-1	105867156	10502216	91832820	6489604	111870685	6248979	72084916	6231425
pareto-250	113996196	4243416	89529812	2350141	130425680	2624523	66325750	2202888
pareto-30	103620560	7774144	88209332	4454610	113608326	4310056	68339780	4275808
pareto-400	120562812	3610420	91341404	1990590	137471248	1867618	67191547	1873683
pareto-70	104854988	6229920	87360740	3500154	117776301	3384824	66643177	3355535
pareto-7	104915272	9589396	90648580	5750204	111956371	5516341	70975968	5516193
kmer_count	453589061	453589061	453589061	453589061	453589061	453589061	453589061	453589061
matchtigs	112433200	3524684	95692328	3368010	121953106	5508866	76210138	4914087
