method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	2304998	0	2304998	0	2304998	0	2304998	0
eulertigs	2454724	260992	2455436	248616	2386459	232576	2260049	226808
greedy-maxone	1588892	417740	1589668	390745	1562202	328020	1465172	325232
greedy-minrun	1588892	396340	1589668	360204	1562202	306282	1465172	304910
pareto-1	1583720	385520	1585620	343568	1556973	296307	1466234	294053
pareto-128	1732268	62636	1732416	34659	1644447	34241	1523593	34241
pareto-256	1732652	61128	1732940	33187	1644890	32525	1523227	32771
pareto-32	1708500	88488	1709100	51016	1629611	50240	1514054	49926
pareto-512	1734112	60280	1735036	32286	1645384	31507	1522884	31752
pareto-8	1611780	217228	1612504	150157	1573543	140641	1479837	139720
kmer_count	5240017	5240017	5240017	5240017	5240017	5240017	5240017	5240017
matchtigs	1807116	80688	1807848	74866	1732563	75584	1637511	71739
