method	superstring	mask
eulertigs	62583412	519586
greedy-maxone	43329748	341179
greedy-minone	43329748	519592
greedy-minrun	43329748	328398
joint-128	48595349	78767
joint-1	43333887	331648
joint-16	43782229	172091
joint-2	43371125	274465
joint-256	52752499	53770
joint-32	44347095	144538
joint-4	43461002	221006
joint-512	55555960	44503
joint-64	45681126	112862
joint-8	43563209	195254
kmer_count	-1	30369141
lowerbound_length	43329283	-1
lowerbound_matchtig_count	-1	41527
matchtigs	48180166	135920
simplitigs	62583598	519589
unitigs	131239608	1626944
