method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	3028268	138164	3022732	133449	2772196	227730	2088949	243662
greedy-maxone	2473208	227248	2445356	112011	2220951	126561	1583788	129480
greedy-minrun	2473208	226524	2445356	111371	2220951	126204	1583788	128962
joint-1	2483656	225824	2456768	110727	2216308	124853	1579884	127887
joint-250	2433300	94212	2392752	46112	2240687	49586	1475335	53067
joint-30	2450804	188716	2419408	91562	2197788	102170	1549407	105562
joint-400	2452260	75728	2408496	37369	2286146	40335	1466992	43436
joint-70	2423720	154776	2389896	75019	2194392	82236	1518465	85875
joint-7	2472472	216680	2445040	105426	2209095	119012	1570961	122052
kmer_count	14629087	14629087	14629087	14629087	14629087	14629087	14629087	14629087
matchtigs	2533640	72164	2501980	66001	2333751	100857	1670373	110375
