method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	158479545	0	158479545	0	158479545	0	158479545	0
eulertigs	241076084	9913812	175728320	9840548	244109950	20555252	128126630	15844830
greedy-maxone	170391164	14884608	124946752	7855516	187351664	8462485	86088359	8005432
greedy-minrun	170391164	14812944	124946752	7790780	187351664	8282655	86088359	7893301
kmer_count	942602604	942602604	942602604	942602604	942602604	942602604	942602604	942602604
matchtigs	178950948	4279132	128373416	4060753	200478759	7522389	93124110	5501564
pareto-1	170337156	14944704	124865272	7883555	187477736	8064019	85860910	7970065
pareto-128	171453880	9129612	120202912	4570661	195696181	4657327	83156951	5524161
pareto-256	178713804	7487800	120904024	3714468	205092599	4330133	83172492	3864242
pareto-32	168653500	12187556	122227004	6197436	188323159	6499749	84529973	6280035
pareto-512	192825120	5838676	123340636	2866123	220506222	2822336	84381694	2869156
pareto-8	169739700	13952332	124136768	7209732	187384670	7321534	85521789	7303479
unitigs	359886072	19877040	273977480	20264769	428635204	47298866	230819180	36487626
