method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	131207480	12734832	131906748	13404251	124777069	15924916	122918369	11359905
greedy-maxone	67822504	15279416	67894884	14154578	61721804	11480476	57626666	11420311
greedy-minrun	67822504	14993724	67894884	13820481	61721804	11267858	57626666	11191348
kmer_count	212834965	212834965	212834965	212834965	212834965	212834965	212834965	212834965
matchtigs	75054812	151656	74837252	159603	71092228	159619	69439060	190020
pareto-128	73073284	140844	73703044	62786	67241779	80006	65575008	102471
pareto-1	67718588	12483744	67738932	10442660	61789182	8851726	58734666	8821884
pareto-256	73076052	139704	73072596	62109	67240424	81704	65571562	101476
pareto-32	73064092	161652	73201684	75515	67241877	93207	65580256	109989
pareto-512	73076052	139704	73072596	62109	67240424	81704	65571562	101476
pareto-8	72046248	1372256	72078360	780022	66384995	700860	64839142	708412
