method	superstring	mask
eulertigs	10324058	65543
greedy-maxone	8634436	34169
greedy-minone	8634436	65555
greedy-minrun	8634436	34078
pareto-128	9460504	17696
pareto-16	8659668	30529
pareto-1	8634944	33972
pareto-256	10500937	11973
pareto-2	8635268	33533
pareto-32	8726409	27651
pareto-4	8636419	33030
pareto-512	12059360	7631
pareto-64	8922745	23461
pareto-8	8641359	32135
kmer_count	-1	6260453
lowerbound_length	8633667	-1
lowerbound_matchtig_count	-1	466
matchtigs	9103112	29695
simplitigs	10324616	65552
unitigs	18627036	199462
