method	superstring	mask
eulertigs	5965708	59550
greedy-maxone	5191023	37990
greedy-minone	5191023	59562
greedy-minrun	5191023	37949
pareto-128	6215924	13955
pareto-1	5191517	37373
pareto-16	5238705	31149
pareto-2	5192150	36733
pareto-256	7240920	8192
pareto-32	5345633	26547
pareto-4	5194851	35744
pareto-512	8484111	4748
pareto-64	5635523	20317
pareto-8	5204203	34106
kmer_count	-1	4179237
lowerbound_length	5190608	-1
lowerbound_matchtig_count	-1	309
matchtigs	5528086	32418
simplitigs	5965918	59557
unitigs	9631798	181753
