method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	1460032	64356	1458236	61763	1233360	107747	1015490	117819
greedy-maxone	1263680	116056	1252664	57008	1007770	66722	810105	69208
greedy-minrun	1263680	115792	1252664	56802	1007770	66602	810105	69048
pareto-1	1265336	116068	1253584	56872	1006562	66293	807891	68940
pareto-128	1285644	70564	1268552	33916	1001062	38784	773387	40693
pareto-256	1327988	51312	1307016	24817	1020796	28484	763761	30127
pareto-32	1266072	100060	1255416	47623	999529	55870	794884	58101
pareto-512	1373520	35712	1349004	17202	1052958	20471	757483	21801
pareto-8	1263960	111732	1253324	53903	1004145	63345	804218	65745
kmer_count	6260453	6260453	6260453	6260453	6260453	6260453	6260453	6260453
matchtigs	1311120	38548	1296800	35274	1068814	57255	863767	62210
