method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
eulertigs	1199316	50200	1199928	49333	1073351	87748	972770	81858
greedy-maxone	1030808	87768	1031504	55195	904123	59507	804598	59256
greedy-minrun	1030808	87684	1031504	55093	904123	59449	804598	59178
pareto-1	1029980	87512	1030764	54661	901768	58782	801233	58353
pareto-128	1078008	45328	1076452	25378	902296	26759	739962	27210
pareto-256	1153452	30048	1149396	16780	923996	17726	728954	18590
pareto-32	1030828	71024	1030840	41403	891385	44654	771002	44406
pareto-512	1214672	19832	1207800	10974	952948	12132	723739	13239
pareto-8	1027200	82780	1027484	50582	896624	54368	791787	54124
kmer_count	4179237	4179237	4179237	4179237	4179237	4179237	4179237	4179237
matchtigs	1092120	35244	1093452	33369	964370	54413	850592	52405
