method	superstring	mask
eulertigs	28719094	2376008
greedy-maxone	23939376	1363584
greedy-minone	23939376	2298624
greedy-minrun	23939376	1361664
kmer_count	-1	9621316
lowerbound_length	11968619	-1
lowerbound_matchtig_count	-1	89
matchtigs	25624802	1124424
pareto-1	23940848	1337344
pareto-128	28432932	478784
pareto-256	31773760	313152
pareto-32	24801808	911488
pareto-512	35961742	198464
pareto-8	24016866	1200576
