method	superstring	mask
eulertigs	20220760	3149128
greedy-maxone	15069052	1942592
greedy-minone	15069052	2943104
greedy-minrun	15069052	1872448
kmer_count	-1	6634375
lowerbound_length	7534023	-1
lowerbound_matchtig_count	-1	26
matchtigs	17130522	1061960
pareto-1	15076410	1759360
pareto-128	19800790	17152
pareto-256	19955244	1088
pareto-32	17270766	461952
pareto-512	19956354	1024
pareto-8	15398474	1195136
