method	superstring	mask
eulertigs	10110380	248287
greedy-maxone	7534526	144944
greedy-minone	7534526	248316
greedy-minrun	7534526	137952
pareto-128	9900395	567
pareto-16	8002980	52014
pareto-1	7538205	126647
pareto-256	9977622	29
pareto-2	7548796	112998
pareto-32	8635383	24336
pareto-4	7586995	98170
pareto-512	9978177	27
pareto-64	9434914	6178
pareto-8	7699237	78257
kmer_count	-1	6634375
lowerbound_length	7534339	-1
lowerbound_matchtig_count	-1	26
matchtigs	8565261	65396
simplitigs	10110716	248311
unitigs	24319974	1263258
