method	length	compressed size geco	compressed size xz
eulertigs	4358286	8112560	8704064
greedy-maxone	3463871	6395600	6885568
pareto-128	4667342	6363280	8034272
pareto-1	3464773	6372080	6875584
pareto-256	4796759	6370032	8180448
pareto-32	3865839	6331432	7283008
pareto-512	4812909	6372304	8184384
pareto-8	3509688	6341936	6917504
matchtigs	3835021	6881856	7514112
