method	length	compressed size geco	compressed size xz
eulertigs	10324058	8123920	11665888
greedy-maxone	8634436	6480840	10021312
matchtigs	9103112	6910136	10374400
pareto-128	9460504	6187096	10148416
pareto-1	8634944	6463128	10028672
pareto-256	10500937	6110088	10456128
pareto-32	8726409	6359072	10043328
pareto-512	12059360	6059864	10792032
pareto-8	8641359	6433744	10026592
