method	superstring_std_basic	mask_std_basic	superstring_std_max	mask_std_max	superstring_geco_basic	mask_geco_basic	superstring_geco_max	mask_geco_max
essCompress	3021679	0	3021679	0	3021679	0	3021679	0
eulertigs	3028268	138164	3022732	133449	2772196	227730	2088949	243662
greedy-maxone	2473208	227248	2445356	112011	2220951	126561	1583788	129480
greedy-minrun	2473208	226524	2445356	111371	2220951	126204	1583788	128962
kmer_count	14629087	14629087	14629087	14629087	14629087	14629087	14629087	14629087
matchtigs	2533640	72164	2501980	66001	2333751	100857	1670373	110375
pareto-1	2483656	225824	2456768	110727	2216308	124853	1579884	127887
pareto-128	2421408	125340	2383652	61106	2209930	66274	1494407	69556
pareto-256	2425928	92972	2386208	45606	2239542	48911	1473872	52455
pareto-32	2447648	186848	2417336	90582	2198659	100907	1546003	104348
pareto-512	2463160	67424	2417752	33110	2316504	36143	1466698	38981
pareto-8	2470396	215172	2440856	104664	2207306	118224	1569334	121277
